"","Gene","Log2FC_B1","padj_B1","Log2FC_B2","pvalue_B2","significance"
"546","AGBL2",0.543050915525357,0.0488660914232942,0.54350068967068,0.0971964350332727,"Same_dir_up"
"952","ANKRD30BP1",0.765793436343594,0.00284712210956199,0.522798329017486,0.185978532354495,"Same_dir_up"
"1479","ASB15",0.56391012794943,0.0424087898357426,0.654385828514074,0.232611325312809,"Same_dir_up"
"2090","BIRC5",-0.886213344405351,0.00531468410214502,-0.776643130672935,0.28218550672941,"Same_dir_down"
"4628","CPA3",0.798190556817232,0.0197949093087277,0.546976046123064,0.111010676338913,"Same_dir_up"
"5100","CYCTP",0.586768698066425,0.0123194581743151,1.01921698173448,0.200551783112,"Same_dir_up"
"6835","ERICH3",0.764173149456566,0.01894081647656,0.70567981320712,0.211167362837977,"Same_dir_up"
"7526","FCGR3B",-1.36941805914283,0.00361117588183978,-1.0357391266871,0.0944529831491604,"Same_dir_down"
"7957","FSHR",0.711476501728303,0.00422374945407676,0.970691226049083,0.295369557219942,"Same_dir_up"
"9376","HBA2",-2.44402381049205,0.0188666515853399,-1.12949241630427,0.107700268271212,"Same_dir_down"
"9377","HBB",-2.00829971137268,0.0424087898357426,-1.09906257407545,0.108875664120476,"Same_dir_down"
"10296","IBSP",0.769873338253455,0.0351880353055085,3.83077308984721,0.0449862884102985,"Same_dir_up"
"10621","IL20RA",0.749164649931315,0.0405880242455502,0.506452028617348,0.268703967627415,"Same_dir_up"
"15360","LOC101929413",0.657847782084036,0.0210294646464522,0.724745377024583,0.128221859818958,"Same_dir_up"
"15895","LOC105369498",0.600726271286299,0.0358398565790128,1.71503099394845,0.0788766275908548,"Same_dir_up"
"16365","LOC105370789",-1.02692828987237,0.049741625588838,-1.35254748938422,0.134904927315455,"Same_dir_down"
"19145","LOC105378520",0.669992738880328,0.0238057087354648,1.71251644645423,0.00736125480598765,"Same_dir_up"
"23681","LOC124903744",0.695166566731618,0.0182144589705507,2.91887806595213,0.00245801365865751,"Same_dir_up"
"25097","LOC124906274",0.728487236472219,0.0339056629337945,2.89582080768102,0.0188454144204521,"Same_dir_up"
"29802","NRGN",-1.20183651965192,0.00275252862044637,-0.565722345430205,0.0713024820784205,"Same_dir_down"
"32052","PPBP",-1.28035287447101,0.0401991998489072,-1.93930718828732,0.00251106148825395,"Same_dir_down"
"33566","RGS18",-1.39350192518283,0.00333379025425962,-0.513172192959802,0.21589391260071,"Same_dir_down"
"33799","RN7SKP25",-0.619874861280126,0.0358398565790128,-1.24386881481292,0.026809358891861,"Same_dir_down"
"34224","RN7SL752P",-0.567856636995523,0.0143681868077326,-0.843263161189371,0.00146275245157678,"Same_dir_down"
"34327","RNA5SP141",-0.677378020883434,0.0379865387565207,-0.614949711407397,0.0405684134453261,"Same_dir_down"
"34357","RNA5SP199",-0.583361354223838,0.000875220035192929,-0.537762845268331,0.0267976929842415,"Same_dir_down"
"34408","RNA5SP290",-0.531326125848563,0.00140966604119028,-0.544563487554706,0.0144283993694339,"Same_dir_down"
"34430","RNA5SP325",-0.64814549276492,0.000436327746197263,-0.8910176471544,0.00694450541493212,"Same_dir_down"
"34447","RNA5SP355",-1.01017941553168,0.00231778476652813,-0.521906432387305,0.09895938504688,"Same_dir_down"
"34452","RNA5SP365",-0.949288496474831,0.0424087898357426,-4.84541611303402,0.000363223013671641,"Same_dir_down"
"34454","RNA5SP368",-0.689459433944442,0.00140966604119028,-0.645068735269022,0.000566771080132736,"Same_dir_down"
"34483","RNA5SP424",-1.35939373539562,0.0025190862323214,-0.614206328281419,0.364362876239041,"Same_dir_down"
"34489","RNA5SP435",-0.898143483142973,0.00140966604119028,-0.502218818367851,0.0254094247011645,"Same_dir_down"
"34532","RNA5SP502",-0.637011507242819,0.00140966604119028,-0.995383423034476,0.259439398639498,"Same_dir_down"
"35658","RNY4P19",-0.806766730594,0.00422374945407676,-1.20868254053018,0.30667314947181,"Same_dir_down"
"35848","RPL14P3",0.764005395927885,0.0236748748088315,0.507684923211964,0.138880974743197,"Same_dir_up"
"37460","S100A9",-1.47995820546509,0.00589791931390817,-0.92651702387054,0.110077212881287,"Same_dir_down"
"38438","SLC25A24P1",1.07061501834725,0.00348107942444862,0.855666487659829,0.10181264248318,"Same_dir_up"
"38996","SNCA",-0.955750598246552,0.0343899459699043,-0.669203903374273,0.0504283940364341,"Same_dir_down"
"43951","ZIC5",0.521056980380607,0.024138140794606,1.80396924855311,0.0345074796444538,"Same_dir_up"
